Strain Name,Strain Type,Vendor Description (from PRODUCTS),Trusted Description (fill gaps),Description Source / Citation,Dominant Terpenes,Common Effects,Flavor / Aroma,Lineage / Genetics,Notes
Kauai,Sativa,"Kauai is a sativa pre-roll with a bright, citrusy, and fresh aroma and uplifting, energizing head buzz.",,,,,,,
kawazaki,Hybrid,"A wet, glittering hybrid sugar wax of Kawazaki, where fine cannabinoid crystals and fragrant terps come together in an easy-to-scoop, terp-soaked dab. Crystally, terp-soaked, and bright — a balanced, sweet-earthy profile, with a balanced head-and-body experience.",,,,,,,
Kentucky Durban,Sativa,"Portable sativa vape cart of Kentucky Durban, dialed in for smooth flavor and easy dosing whenever and wherever you want it. Convenient and clean, a sweet, piney aroma with clean, uplifting energy, delivering a clear, creative buzz.",,,,,,,
Key Bump,Hybrid,"This infused hybrid pre-roll wraps Key Bump flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. Boosted for extra strength and more intense effects — a sweet, tart raspberry flavor, with a balanced head-and-body experience. A little goes a long way.",,,,,,,
Key Lime,Hybrid,"A small-batch tart, crisp lime edible inspired by old family recipes, fancy sugar, and the kind of flavor people talk about after the first bite. A craveable infused treat that feels right at home next to the best sweets on the shelf.",,,,,,,
Key Lime Cookies,,,,,,,,,
Key Lime Pie,Hybrid,"This hybrid disposable carries Key Lime Pie in a ready-to-go pen with the battery built right in — grab it, hit it, recycle it when it's done. Simple, smooth, portable, with notes of lime, mint, and citrus, leading into a versatile, anytime balance.",,,,,,,
Key Lime Pie 1:1 THC:CBG,,,,,,,,,
Key Lime Tart,Hybrid,"Key Lime Tart is a hybrid flower with a sweet, balanced earthy-fruity aroma, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Khalifa Kiwi,Hybrid,"This infused hybrid pre-roll wraps Khalifa Kiwi flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. Built for a stronger, longer session and more intense effects — a tangy kiwi flavor, with an even, best-of-both-worlds feel. A little goes a long way.",,,,,,,
Kimber Slice,Hybrid,"Kimber Slice is a hybrid flower with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Kimbo Kush,Hybrid,"Kimbo Kush is a hybrid pre-roll with notes of earthy, peach, and citrus, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Kitchen Sink,,,,,,,,,
Kiwi,Hybrid,"Hand-rolled hybrid infused blunt of Kiwi, boosted with concentrate for big aroma, a slow burn, and serious strength. Boosted for extra strength and more intense effects — a tangy kiwi flavor, with an even, best-of-both-worlds feel. A little goes a long way.",,,,,,,
Kiwi Hi-Chewz,Hybrid,"A convenient hybrid cartridge carrying Kiwi Hi-Chewz's character into flavorful, on-demand vapor — discreet, simple, and ready to go. Smooth, discreet, and flavorful — a tangy kiwi flavor, with an even, best-of-both-worlds feel.",,,,,,,
Kiwi Strawberry,Hybrid,"A gourmet sweet, juicy strawberry gummy imagined with island-grown cane sugar, orchard fruit, and the kind of small-batch technique usually reserved for handmade luxury candies. It features CBG to support daytime focus and clarity. The flavor does the inviting, and the cannabis infusion follows with a smooth finish.",,,,,,,
KO Kush,Hybrid,"This hybrid cartridge loads KO Kush into a sleek 510-thread pen for clean, convenient draws — premium oil, precise hits, zero hassle. Flavor on the go, with notes of pine, lemon, and flowery, leading into a versatile, anytime balance.",,,,,,,
Koffee LimeDog,,,,,,,,,
Kool Whip,Indica,"Kool Whip is an indica flower with notes of vanilla, nutty, and sweet, with an earthy, sweet flavor and a smooth finish. Expect relaxing, mellow body comfort.",,,,,,,
Kosher Headband,Hybrid,"A convenient hybrid cartridge carrying Kosher Headband's character into flavorful, on-demand vapor — discreet, simple, and ready to go. Smooth, discreet, and flavorful — a balanced, sweet-earthy profile, with an even, best-of-both-worlds feel.",,,,,,,
Krazy Pizz,Hybrid,"Krazy Pizz is a hybrid pre-roll with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Krazy runtz,,,,,,,,,
Krumblez,Hybrid,"Krumblez is a hybrid pre-roll with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Kush Breath,Hybrid,"This infused hybrid pre-roll wraps Kush Breath flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. Boosted for extra strength and more intense effects — with notes of vanilla, lemon, and apple, with a smooth, well-rounded vibe. A little goes a long way.",,,,,,,
Kush Cake,Hybrid,"A potent, full-spectrum Rick Simpson Oil (RSO) that captures the whole plant's cannabinoids and terpenes in a thick, concentrated extract. Versatile — take it on its own, under the tongue, or add it to food. Extremely potent, so start with a tiny amount (about a quarter grain of rice) and go slow.",,,,,,,
kush mints,Hybrid,"A hybrid infused joint built on Kush Mints and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. More potent than flower alone, with more intense effects — with notes of menthol, mint, and ammonia, delivering a versatile, anytime balance. Pace yourself.",,,,,,,
Kush Mints.,Hybrid,"A hybrid infused joint built on Kush Mints. and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. Built for a stronger, longer session and more intense effects — with notes of menthol, mint, and ammonia, with an even, best-of-both-worlds feel. A little goes a long way.",,,,,,,
Kush Mintz,Hybrid,"Kush Mintz is a hybrid flower with notes of menthol, mint, and ammonia, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Kushadelic,Indica,"Kushadelic is an indica flower with notes of pine, berry, and earthy, with an earthy, sweet flavor and a smooth finish. Expect relaxing, mellow body comfort.",,,,,,,
Kushlato,Hybrid,"Kushlato is a hybrid flower with notes of diesel, mint, and lemon, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Laffy Taffy,Hybrid,"A hybrid vape cartridge filled with Laffy Taffy oil — smooth, flavorful vapor in a discreet, no-torch, push-button format that goes wherever you go. Convenient and clean, a balanced, sweet-earthy profile, delivering a versatile, anytime balance.",,,,,,,
Larry Bird Kush,Hybrid,"A hybrid infused joint built on Larry Bird Kush and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. Boosted for extra strength and more intense effects — with notes of apricot, earthy, and grape, with a smooth, well-rounded vibe. A little goes a long way.",,,,,,,
Late Bloomer,Hybrid,"A potent hybrid butane hash oil from Late Bloomer, extracted in a sealed closed-loop system by licensed techs and carefully purged to lab-tested purity. Potent, clean, and lab-tested — a balanced, sweet-earthy profile, with a smooth, well-rounded vibe.",,,,,,,
Lava Berry,Hybrid,"This infused hybrid pre-roll wraps Lava Berry flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. Built for a stronger, longer session and more intense effects — a sweet, ripe berry flavor, with an even, best-of-both-worlds feel. A little goes a long way.",,,,,,,
Lava Cake,Hybrid,"Lava Cake is a hybrid flower with notes of pepper, mint, and vanilla, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Lava Cherries x Oranges & Onions,Hybrid,"A hybrid pre-roll of Lava Cherries x Oranges & Onions supercharged with concentrate — packed with flower and boosted inside, outside, or both for a stronger, slower-burning smoke. Built for a stronger, longer session and more intense effects — a sweet, juicy orange flavor, with a versatile, anytime balance. A little goes a long way.",,,,,,,
Lava Pie,Hybrid,"A hybrid infused joint built on Lava Pie and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. More potent than flower alone, with more intense effects — a balanced, sweet-earthy profile, delivering a smooth, well-rounded vibe. Pace yourself.",,,,,,,
Lavender Dream,Hybrid,"Tiny artisan mints with a cool snap, silky sweetness, and a precisely blended cannabis infusion for a polished, easygoing experience. It blends THC for a classic euphoric lift, CBD to keep things calm and balanced, and CBN to help you relax and ease into rest in a 1:1:1 ratio. Perfect for winding down at the end of the day.",,,,,,,
Lavender Lemonade,Hybrid,"A discreet infused drop formula with a modern herbal-apothecary feel, easy to measure and simple to work into any routine. A subtle sweet-tart lemonade note makes each drop a little easier to enjoy. Discreet, precise, and easy to dose.",,,,,,,
Lavender Trainwreck,Hybrid,"A convenient hybrid cartridge carrying Lavender Trainwreck's character into flavorful, on-demand vapor — discreet, simple, and ready to go. Convenient and clean, a soft, floral lavender flavor, delivering a balanced head-and-body experience.",,,,,,,
Lazy Llama,Hybrid,"Lazy Llama is a hybrid flower with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Lebanese Gold,Hybrid,"A hybrid infused joint built on Lebanese Gold and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. Built for a stronger, longer session and more intense effects — a balanced, sweet-earthy profile, with a smooth, well-rounded vibe. A little goes a long way.",,,,,,,
Lebanese Gold Hashish,Hybrid,"Hand-crafted hybrid hash from Lebanese Gold Hashish, the timeless concentrate — sifted trichomes pressed into a mellow, flavorful, full-spectrum classic. Rich and traditional, a balanced, sweet-earthy profile, leading into a balanced head-and-body experience.",,,,,,,
Lebanese Red,Hybrid,"A hybrid infused joint built on Lebanese Red and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. Built for a stronger, longer session and more intense effects — a balanced, sweet-earthy profile, with a versatile, anytime balance. A little goes a long way.",,,,,,,
Lebanese Red Hashish,Hybrid,"This Lebanese Red Hashish hash collects the plant's resin glands and presses them into a fragrant, full-spectrum concentrate you can dab, smoke, or sprinkle. Smooth, classic, and full-spectrum — a balanced, sweet-earthy profile, with a smooth, well-rounded vibe.",,,,,,,
Legacy Loco,Hybrid,"This hybrid infused flower takes Legacy Loco and boosts it with potent extract for a noticeably stronger, more intense experience. More potent than flower alone, with more intense effects — a balanced, sweet-earthy profile, delivering an even, best-of-both-worlds feel. Pace yourself.",,,,,,,
lemon,Hybrid,"A lively bright, zesty lemon beverage with farmers-market fruit energy, balanced sweetness, and cannabis blended in for a relaxed, drinkable experience. It features THC for a classic euphoric lift. Sip slowly and let the hybrid infusion settle in at its own pace.",,,,,,,
Lemon Amarena,Hybrid,"Lemon Amarena is a hybrid flower with a bright, zesty lemon flavor and balanced, well-rounded effects.",,,,,,,
Lemon Beltz,Hybrid,"Lemon Beltz is a hybrid flower with a bright, zesty lemon flavor and balanced, well-rounded effects.",,,,,,,
Lemon Boof,Hybrid,"This infused hybrid pre-roll wraps Lemon Boof flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. More potent than flower alone, with more intense effects — a bright, zesty lemon flavor, delivering an even, best-of-both-worlds feel. Pace yourself.",,,,,,,
Lemon Burger,Hybrid,"Ready-to-spark hybrid infused pre-roll of Lemon Burger, enhanced with concentrate for smoother, slower burning and a serious step up in strength. Boosted for extra strength and more intense effects — a bright, zesty lemon flavor, with a versatile, anytime balance. A little goes a long way.",,,,,,,
Lemon Burst,Hybrid,"Lemon Burst is a hybrid pre-roll with a sweet, balanced earthy-fruity aroma, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Lemon Cake,Sativa,"Effortless sativa disposable vape of Lemon Cake — fully charged out of the box, dialed in for smooth flavor and total convenience. Simple, smooth, portable, with notes of lemon, cheese, and citrus, leading into a bright, heady lift.",,,,,,,
Lemon Cherry Biscuits,Hybrid,"This hybrid disposable carries Lemon Cherry Biscuits in a ready-to-go pen with the battery built right in — grab it, hit it, recycle it when it's done. Grab-and-go convenience, a bright, zesty lemon flavor, delivering an even, best-of-both-worlds feel.",,,,,,,
Lemon Cherry Dosi #7,Hybrid,"Lemon Cherry Dosi #7 is a hybrid flower with a bright, zesty lemon flavor and balanced, well-rounded effects.",,,,,,,
Lemon Cherry Garlic,Hybrid,"Lemon Cherry Garlic is a hybrid flower with a bright, zesty lemon flavor and balanced, well-rounded effects.",,,,,,,
Lemon Cherry Gelato,Hybrid,"Lemon Cherry Gelato is a hybrid pre-roll with notes of lemon, citrus, and berry, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Lemon Cherry Pastry,Hybrid,"Lemon Cherry Pastry is a hybrid pre-roll with a bright, zesty lemon flavor and balanced, well-rounded effects.",,,,,,,
Lemon Cherry Punch,Hybrid,"This infused hybrid pre-roll wraps Lemon Cherry Punch flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. More potent than flower alone, with more intense effects — a bright, zesty lemon flavor, delivering a balanced head-and-body experience. Pace yourself.",,,,,,,
Lemon Cherry Rocket,Hybrid,"Lemon Cherry Rocket is a hybrid flower with a bright, zesty lemon flavor and balanced, well-rounded effects.",,,,,,,
Lemon Cherry Runtz,Hybrid,"Lemon Cherry Runtz is a hybrid flower with notes of lemon, diesel, and berry, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Lemon Crepe,Sativa,"Aromatic sativa live resin pressed from fresh-frozen Lemon Crepe, the sweet spot of flavor, potency, and that 'just-harvested' terpene rush. Saucy, vibrant, and intensely aromatic — a bright, zesty lemon flavor, with an upbeat, talkative energy.",,,,,,,
Lemon Drop,Hybrid,"A hybrid infused blunt built around Lemon Drop and enhanced with extract, blended in for a smooth, even burn and an elevated experience. Built for a stronger, longer session and more intense effects — with notes of lemon, citrus, and tea, with a smooth, well-rounded vibe. A little goes a long way.",,,,,,,
Lemon Fire,,,,,,,,,
Lemon FLO,Hybrid,"A hybrid vape cartridge filled with Lemon FLO oil — smooth, flavorful vapor in a discreet, no-torch, push-button format that goes wherever you go. Convenient and clean, a bright, zesty lemon flavor, delivering a smooth, well-rounded vibe.",,,,,,,
Lemon Ginger,Hybrid,"A refreshing bright, zesty lemon infused beverage with bright café-style flavor, smooth sweetness, and an easy-drinking cannabis finish. Sip slowly and let the hybrid infusion settle in at its own pace.",,,,,,,
Lemon Haze,Sativa,"Ready-to-spark sativa infused pre-roll of Lemon Haze, enhanced with concentrate for smoother, slower burning and a serious step up in strength. Boosted for extra strength and more intense effects — with notes of lemon, citrus, and lime, with a clear, creative buzz. A little goes a long way.",,,,,,,
Lemon Heads,Hybrid,"Lemon Heads is a hybrid pre-roll with a bright, zesty lemon flavor and balanced, well-rounded effects.",,,,,,,
Lemon Jack,Sativa,"Lemon Jack is a sativa flower with notes of lemon, chemical, and citrus, with a sweet, citrusy flavor with a zesty kick. Expect uplifting, energizing head buzz.",,,,,,,
Lemon Lime Haze,Sativa,"A grab-and-go sativa disposable of Lemon Lime Haze, the simplest way to vape: flavorful, portable, and zero setup required. Zero setup, all flavor — a bright, zesty lemon flavor, with an active, daytime spark.",,,,,,,
Lemon Loopz,Hybrid,"A lively bright, zesty lemon beverage with farmers-market fruit energy, balanced sweetness, and cannabis blended in for a relaxed, drinkable experience. Sip slowly and let the hybrid infusion settle in at its own pace.",,,,,,,
Lemon Mandarin,Hybrid,"A gourmet-style bright, zesty lemon treat with imaginative flavor, balanced sweetness, and a clean infused finish. Enjoy slowly and let the infused finish settle in at its own pace.",,,,,,,
Lemon Maraschino,,,,,,,,,
Lemon Meringue,Sativa,"This sativa cartridge loads Lemon Meringue into a sleek 510-thread pen for clean, convenient draws — premium oil, precise hits, zero hassle. Flavor on the go, with notes of lemon, citrus, and nutty, leading into a bright, heady lift.",,,,,,,
Lemon Meringue CBD + HTE,,,,,,,,,
Lemon Orange,Hybrid,"Effortless hybrid disposable vape of Lemon Orange — fully charged out of the box, dialed in for smooth flavor and total convenience. Simple, smooth, portable, a bright, zesty lemon flavor, leading into an even, best-of-both-worlds feel.",,,,,,,
Lemon Oreo Gelato,Hybrid,"Lemon Oreo Gelato is a hybrid flower with a sweet, creamy, dessert-like aroma with a balanced, euphoric feel.",,,,,,,
Lemon Pastries,Hybrid,"Lemon Pastries is a hybrid pre-roll with notes of lemon, diesel, and blueberry, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Lemon Peel x Trop-Aid,,,,,,,,,
Lemon Pepper,Hybrid,"Lemon Pepper is a hybrid pre-roll with notes of pepper, ammonia, and lemon, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Lemon Riviera,Hybrid,"Ready-to-spark hybrid infused pre-roll of Lemon Riviera, enhanced with concentrate for smoother, slower burning and a serious step up in strength. Boosted for extra strength and more intense effects — a bright, zesty lemon flavor, with a versatile, anytime balance. A little goes a long way.",,,,,,,
lemon runtz,,,,,,,,,
Lemon Shortbread,Hybrid,"A flavor-forward hybrid live resin, made from fresh-frozen Lemon Shortbread in a closed-loop system so the dab tastes almost exactly like the plant smelled in the field. Bright, layered, and strain-expressive, with notes of lemon, berry, and vanilla, leading into a smooth, well-rounded vibe.",,,,,,,
Lemon Skunk,Hybrid,"Amber hybrid shatter made from Lemon Skunk, the classic break-apart concentrate that rewards careful purging with a flawless, glassy snap. Stable, potent, and clear, with notes of lemon, skunk, and citrus, delivering a smooth, well-rounded vibe.",,,,,,,
Lemon Slushee,Hybrid,"Premium hybrid live resin extracted from Lemon Slushee that was flash-frozen fresh at harvest, locking in the volatile terpenes most concentrates lose to drying and curing. A premium dab done right, a bright, zesty lemon flavor, with a versatile, anytime balance.",,,,,,,
Lemon Tree,Hybrid,"An all-in-one hybrid disposable vape preloaded with Lemon Tree oil — no battery to charge, no cart to screw on, just unbox, draw, and enjoy. Zero setup, all flavor — with notes of lemon, citrus, and diesel, with an even, best-of-both-worlds feel.",,,,,,,
Lemonade,Sativa,"A refreshing chef-inspired infused beverage with bright café-style flavor, smooth sweetness, and an easy-drinking cannabis finish. A refreshing sativa option for customers who prefer their cannabis in a drinkable format.",,,,,,,
Lemoncello,Hybrid,"A hybrid pre-roll of Lemoncello supercharged with concentrate — packed with flower and boosted inside, outside, or both for a stronger, slower-burning smoke. Boosted for extra strength and more intense effects — a balanced, sweet-earthy profile, with a versatile, anytime balance. A little goes a long way.",,,,,,,
Lemonder Fuel,Hybrid,"A hybrid infused joint built on Lemonder Fuel and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. More potent than flower alone, with more intense effects — a bright, zesty lemon flavor, delivering a versatile, anytime balance. Pace yourself.",,,,,,,
Lemonheads,Hybrid,"Lemonheads is a hybrid pre-roll with notes of lemon, berry, and blueberry, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Lifted,Hybrid,"A discreet infused drop formula with a modern herbal-apothecary feel, easy to measure and simple to work into any routine. For an uplifting, energetic experience. Discreet, precise, and easy to dose.",,,,,,,
Lifted Sativa 1:1,,,,,,,,,
Lil Rays Mango Lemonade,Hybrid,"A lively sweet-tart lemonade beverage with farmers-market fruit energy, balanced sweetness, and cannabis blended in for a relaxed, drinkable experience. A refreshing hybrid option for customers who prefer their cannabis in a drinkable format.",,,,,,,
Lil Rays Raspberry Lemonade,Hybrid,"A boutique infused beverage with sweet-tart lemonade notes, a refreshing finish, and the kind of flavor that makes it feel like a treat before the effects even arrive. Sip slowly and let the hybrid infusion settle in at its own pace.",,,,,,,
Lilac Wine,,,,,,,,,
Lime,Hybrid,"A lively infused shot with tart, crisp lime character, made for customers who want a fast, flavorful edible-style option. Best enjoyed cold, with plenty of time for the infused finish to arrive.",,,,,,,
Lime Drop,Hybrid,"This hybrid disposable carries Lime Drop in a ready-to-go pen with the battery built right in — grab it, hit it, recycle it when it's done. Simple, smooth, portable, a tart, crisp lime flavor, leading into an even, best-of-both-worlds feel.",,,,,,,
Lime Foot,Hybrid,"Portable hybrid vape cart of Lime Foot, dialed in for smooth flavor and easy dosing whenever and wherever you want it. Flavor on the go, a tart, crisp lime flavor, leading into a smooth, well-rounded vibe.",,,,,,,
Lime Slapz,Hybrid,"Lime Slapz is a hybrid pre-roll with a tart, crisp lime flavor and balanced, well-rounded effects.",,,,,,,
Lime Sorbet,Indica,"A indica vape cartridge filled with Lime Sorbet oil — smooth, flavorful vapor in a discreet, no-torch, push-button format that goes wherever you go. Smooth, discreet, and flavorful — with notes of lime, citrus, and skunk, with deep, easygoing relaxation.",,,,,,,
Live Hybrid,,,,,,,,,
Lobster OG,Hybrid,"A hybrid pre-roll of Lobster OG supercharged with concentrate — packed with flower and boosted inside, outside, or both for a stronger, slower-burning smoke. Built for a stronger, longer session and more intense effects — a pungent earthy-pine and fuel aroma with a strong, classic, relaxing feel, with a smooth, well-rounded vibe. A little goes a long way.",,,,,,,
Lobster Roll,Hybrid,"Effortless hybrid disposable vape of Lobster Roll — fully charged out of the box, dialed in for smooth flavor and total convenience. Zero setup, all flavor — a balanced, sweet-earthy profile, with a smooth, well-rounded vibe.",,,,,,,
Lodi Dodi,Hybrid,"Lodi Dodi is a hybrid pre-roll with notes of flowery, honey, and tropical, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
London Lobster,Hybrid,"London Lobster is a hybrid flower with notes of blue cheese and apple, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
London Marker #9,Hybrid,"London Marker #9 is a hybrid flower with notes of woody, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
London Pound Cake,Hybrid,"A hybrid vape cartridge filled with London Pound Cake oil — smooth, flavorful vapor in a discreet, no-torch, push-button format that goes wherever you go. Smooth, discreet, and flavorful — with notes of butter, vanilla, and lemon, with a versatile, anytime balance.",,,,,,,
London Wookbreath,Hybrid,"Hand-pressed hybrid rosin from London Wookbreath — solventless, full-spectrum, and prized by flavor chasers for a taste that stays honest to the living bud. Golden, terpy, and gentle on the lungs — a balanced, sweet-earthy profile, with an even, best-of-both-worlds feel.",,,,,,,
Los Muertos,Hybrid,"A hybrid infused joint built on Los Muertos and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. More potent than flower alone, with more intense effects — with notes of diesel, blue cheese, and pineapple, delivering an even, best-of-both-worlds feel. Pace yourself.",,,,,,,
Losbter,Hybrid,"Losbter is a hybrid flower with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
lost og,Hybrid,"A hybrid infused flower product built on Lost OG and enhanced with concentrate for extra strength and a louder, more flavorful smoke. Boosted for extra strength and more intense effects — a pungent earthy-pine and fuel aroma with a strong, classic, relaxing feel, with a smooth, well-rounded vibe. A little goes a long way.",,,,,,,
Loud Lychee,Hybrid,"A hybrid infused joint built on Loud Lychee and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. More potent than flower alone, with more intense effects — a smooth, sweet honey flavor, delivering a balanced head-and-body experience. Pace yourself.",,,,,,,
Luau Punch,Hybrid,"An artisan fruit-punch edible made to feel special — rich flavor, soft sweetness, and a cannabis finish that stays smooth and approachable. The flavor does the inviting, and the cannabis infusion follows with a smooth finish.",,,,,,,
Luxor,Hybrid,"Ready-to-spark hybrid infused pre-roll of Luxor, enhanced with concentrate for smoother, slower burning and a serious step up in strength. More potent than flower alone, with more intense effects — a balanced, sweet-earthy profile, delivering a smooth, well-rounded vibe. Pace yourself.",,,,,,,
Lychee,Hybrid,"A flavor-forward hybrid live resin, made from fresh-frozen Lychee in a closed-loop system so the dab tastes almost exactly like the plant smelled in the field. Saucy, vibrant, and intensely aromatic — with notes of pear, tropical, and peach, with an even, best-of-both-worlds feel.",,,,,,,
Lychee Boba,Hybrid,"This hybrid cartridge loads Lychee Boba into a sleek 510-thread pen for clean, convenient draws — premium oil, precise hits, zero hassle. Smooth, discreet, and flavorful — a balanced, sweet-earthy profile, with a balanced head-and-body experience.",,,,,,,
Lyon King,Sativa,"This sativa disposable carries Lyon King in a ready-to-go pen with the battery built right in — grab it, hit it, recycle it when it's done. Grab-and-go convenience, with notes of diesel, delivering a bright, heady lift.",,,,,,,
MAC,Hybrid,"A hybrid pre-roll of MAC supercharged with concentrate — packed with flower and boosted inside, outside, or both for a stronger, slower-burning smoke. Boosted for extra strength and more intense effects — with notes of pepper, citrus, and flowery, with a balanced head-and-body experience. A little goes a long way.",,,,,,,
Mac 1,Hybrid,"This infused hybrid pre-roll wraps Mac 1 flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. Boosted for extra strength and more intense effects — with notes of butter, citrus, and ammonia, with a balanced head-and-body experience. A little goes a long way.",,,,,,,
MAC HERER,Hybrid,"A flavor-forward hybrid live resin, made from fresh-frozen MAC Herer in a closed-loop system so the dab tastes almost exactly like the plant smelled in the field. Bright, layered, and strain-expressive, a sweet, citrus-earthy, creamy aroma with a balanced, euphoric feel, leading into a smooth, well-rounded vibe.",,,,,,,
MAC Stomper,Hybrid,"MAC Stomper is a hybrid pre-roll with notes of apple, grape, and berry, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Macadamia Nut Indica 100mg,Indica,"Decadent artisan chocolate inspired by humane cacao farms and old confectioner recipes, blending deep cocoa richness with a smooth, measured cannabis experience. It features THC for a classic euphoric lift. The flavor does the inviting, and the cannabis infusion follows with a smooth finish.",,,,,,,
Mack's Gak,Hybrid,"A grab-and-go hybrid disposable of Mack's Gak, the simplest way to vape: flavorful, portable, and zero setup required. Grab-and-go convenience, a sweet, citrus-earthy, creamy aroma with a balanced, euphoric feel, delivering a versatile, anytime balance.",,,,,,,
Mad Banana Runtz,Hybrid,"Mad Banana Runtz is a hybrid flower with a sweet, fruity candy aroma with a smooth, euphoric, balanced feel.",,,,,,,
Mad Fruit,Hybrid,"Mad Fruit is a hybrid flower with a sweet mixed fruit flavor and balanced, well-rounded effects.",,,,,,,
Mad Gelato,Hybrid,"An all-in-one hybrid disposable vape preloaded with Mad Gelato oil — no battery to charge, no cart to screw on, just unbox, draw, and enjoy. Simple, smooth, portable, a sweet, creamy, dessert-like aroma with a balanced, euphoric feel, leading into an even, best-of-both-worlds feel.",,,,,,,
Mad Gump,,,,,,,,,
mad pie goddess,Hybrid,"Mad Pie Goddess is a hybrid flower with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Magic Marker,Hybrid,"Magic Marker is a hybrid flower with notes of ammonia, chemical, and diesel, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Magic Pop Rocks #3,Hybrid,"A convenient hybrid cartridge carrying Magic Pop Rocks #3's character into flavorful, on-demand vapor — discreet, simple, and ready to go. Flavor on the go, with notes of blueberry, diesel, and grape, leading into a smooth, well-rounded vibe.",,,,,,,
Malibu Marker,Hybrid,"Malibu Marker is a hybrid flower with notes of diesel, citrus, and orange, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Malibu Marsha,,,,,,,,,
Malt Balls Sativa,Sativa,"A gourmet-style chef-inspired treat with imaginative flavor, balanced sweetness, and a clean infused finish. A dessert-style sativa treat with the kind of flavor that makes dosing feel like a reward.",,,,,,,
Mandarin,Hybrid,"A small-batch sweet, juicy citrus edible inspired by old family recipes, fancy sugar, and the kind of flavor people talk about after the first bite. Built for slow enjoyment: big flavor first, smooth cannabis finish after.",,,,,,,
Mandarin Butter,Hybrid,"A hybrid pre-roll of Mandarin Butter supercharged with concentrate — packed with flower and boosted inside, outside, or both for a stronger, slower-burning smoke. More potent than flower alone, with more intense effects — a balanced, sweet-earthy profile, delivering an even, best-of-both-worlds feel. Pace yourself.",,,,,,,
Mandarin Cookies,Hybrid,"This infused hybrid pre-roll wraps Mandarin Cookies flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. More potent than flower alone, with more intense effects — with notes of citrus, orange, and pepper, delivering a versatile, anytime balance. Pace yourself.",,,,,,,
Mango,Indica,"A mouth-watering bright, juicy mango infused treat with candy-kitchen charm and a smooth cannabis experience tucked into every serving. It blends THC for a classic euphoric lift and CBD to keep things calm and balanced in a 1:1 ratio. A flavorful indica option for customers who want their cannabis wrapped in something genuinely craveable.",,,,,,,
mango chili,Hybrid,"A mouth-watering bright, juicy mango infused treat with candy-kitchen charm and a smooth cannabis experience tucked into every serving. Rich on flavor and easy to enjoy — start with a comfortable serving and let the edible do the rest.",,,,,,,
