slug,name,aliases,strain_type,lineage,dominant_terpene,aroma_notes,flavor_notes,terpenes,dominant_cannabinoid,potency_note,bud_structure,origin,summary,sources,confidence
dreadlock,Dreadlock,,hybrid,,,diesel|earthy|herbal,diesel|earthy|herbal,,thc,,,,"Dreadlock is a hybrid with flavors of diesel, earthy, herbal.",The Cannabis API (Piyush-Bhor),0.65
dream beaver,Dream Beaver,,sativa,,,earthy|herbal|pineapple,earthy|herbal|pineapple|spicy|woody,,thc,WA flower lots test around 22% THC on average.,,Bodhi Seeds,"Dream Beaver is a sativa with flavors of earthy, herbal, pineapple.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
dream berry,Dream Berry,,indica,,,berry|citrus|diesel,berry|citrus|diesel,,thc,WA flower lots test around 19% THC on average.,,Apothecary Seed Company,"Dream Berry is an indica with flavors of berry, citrus, diesel.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
dream-police,Dream-police,,hybrid,,,blueberry|citrus|peppery,blueberry|citrus|peppery,,thc,,,,"Dream-police is a hybrid with flavors of blueberry, citrus, peppery.",The Cannabis API (Piyush-Bhor),0.65
dream-star,Dream-star,,hybrid,,,earthy|sweet|woody,earthy|sweet|woody,,thc,,,Oaksterdam Seed Company,"Dream-star is a hybrid with flavors of earthy, sweet, woody.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
dreamers-glass,Dreamers-glass,,hybrid,,,earthy|skunk|sweet,earthy|skunk|sweet,,thc,,,,"Dreamers-glass is a hybrid with flavors of earthy, skunk, sweet.",The Cannabis API (Piyush-Bhor),0.65
drizella,Drizella,,sativa,,,earthy|pungent|sweet,earthy|pungent|sweet,,thc,,,Dynasty Seeds,"Drizella is a sativa with flavors of earthy, pungent, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
duke nukem,Duke Nukem,,hybrid,,,earthy|pungent|sweet,earthy|pungent|sweet,,thc,,,Cabin Fever Seed Breeders,"Duke Nukem is a hybrid with flavors of earthy, pungent, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor),0.65
dungeness og,Dungeness Og,,hybrid,,pinene,pine|fresh|peppery|spicy,,pinene|caryophyllene|humulene,thc,,,,Dungeness Og is a hybrid with Pinene-forward terpene profile.,Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser),0.65
durban berry,Durban Berry,,hybrid,,,citrus|lemon|pine,citrus|lemon|pine,,thc,WA flower lots test around 22% THC on average.,,,"Durban Berry is a hybrid with flavors of citrus, lemon, pine.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
durban cheese,Durban Cheese,,hybrid,,,cheese|earthy,cheese|earthy,,thc,WA flower lots test around 17% THC on average.,,,"Durban Cheese is a hybrid with flavors of cheese, earthy.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
durban cookies,Durban Cookies,,sativa,,,earthy|sweet|woody,earthy|sweet|woody,,thc,WA flower lots test around 19% THC on average.,,,"Durban Cookies is a sativa with flavors of earthy, sweet, woody.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
durga-mata,Durga-mata,,indica,,,citrus|earthy|lemon,citrus|earthy|lemon|mint,,thc,,,Paradise Seeds,"Durga-mata is an indica with flavors of citrus, earthy, lemon.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
dutch dragon,Dutch Dragon,,sativa,,,citrus|mint|sweet,citrus|mint|sweet,,thc,WA flower lots test around 21% THC on average.,,Paradise Seeds,"Dutch Dragon is a sativa with flavors of citrus, mint, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
dutch haze,Dutch Haze,,sativa,,,citrus|earthy,citrus|earthy,,thc,WA flower lots test around 22% THC on average.,,Dutch Passion Seed Company,"Dutch Haze is a sativa with flavors of citrus, earthy.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
dutch queen,Dutch Queen,,hybrid,,,earthy|pungent|sweet,earthy|pungent|sweet,,thc,WA flower lots test around 21% THC on average.,,Buddy Boy Farm,"Dutch Queen is a hybrid with flavors of earthy, pungent, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
dutch thunder fuck,Dutch Thunder Fuck,,hybrid,,,citrus|earthy|lemon,citrus|earthy|lemon,,thc,WA flower lots test around 22% THC on average.,,,"Dutch Thunder Fuck is a hybrid with flavors of citrus, earthy, lemon.",Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
dutch treat (patient solutions),Dutch Treat (patient Solutions),,hybrid,,myrcene,earthy|musky|herbal,,myrcene,thc,,,,Dutch Treat (patient Solutions) is a hybrid with Myrcene-forward terpene profile.,Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser),0.65
dutch treat (urban farmacy),Dutch Treat (urban Farmacy),,hybrid,,humulene,hoppy|earthy|woody,,humulene,thc,,,,Dutch Treat (urban Farmacy) is a hybrid with Humulene-forward terpene profile.,Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser),0.65
dutch treat haze,Dutch Treat Haze,,hybrid,,,berry|citrus|earthy,berry|citrus|earthy,,thc,WA flower lots test around 22% THC on average.,,,"Dutch Treat Haze is a hybrid with flavors of berry, citrus, earthy.",Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
dutch-crunch,Dutch-crunch,,hybrid,,,citrus|herbal|peppery,citrus|herbal|peppery|spicy,,thc,,,,"Dutch-crunch is a hybrid with flavors of citrus, herbal, peppery.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
dutch-kush,Dutch-kush,,indica,,,berry|coffee|floral,berry|coffee|floral,,thc,,,,"Dutch-kush is an indica with flavors of berry, coffee, floral.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
dutchberry,Dutchberry,,hybrid,,,berry|orange|sweet,berry|orange|sweet,,thc,WA flower lots test around 21% THC on average.,,,"Dutchberry is a hybrid with flavors of berry, orange, sweet.",The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
early girl,Early Girl,,indica,,,citrus|earthy|pine,citrus|earthy|pine|sweet,,thc,WA flower lots test around 24% THC on average.,,,"Early Girl is an indica with flavors of citrus, earthy, pine.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
early miss,Early Miss,,hybrid,,,pungent|herbal|peppery,pungent|herbal|peppery|spicy,,thc,WA flower lots test around 20% THC on average.,,,"Early Miss is a hybrid with flavors of pungent, herbal, peppery.",The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
early skunk,Early Skunk,,hybrid,,,earthy|floral|skunk,earthy|floral|skunk,,thc,WA flower lots test around 18% THC on average.,,Seed Bank,"Early Skunk is a hybrid with flavors of earthy, floral, skunk.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
early-pearl,Early-pearl,,sativa,,,pungent|earthy|sweet,pungent|earthy|sweet|herbal,,thc,,,Sensi Seeds,"Early-pearl is a sativa with flavors of pungent, earthy, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
earth og,Earth Og,,hybrid,,,earthy|herbal|pine,earthy|herbal|pine|spicy,,thc,WA flower lots test around 14% THC on average.,,Clone Queen,"Earth Og is a hybrid with flavors of earthy, herbal, pine.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
earthquake,Earthquake,,hybrid,,,earthy|pine|woody,earthy|pine|woody,,thc,WA flower lots test around 16% THC on average.,,,"Earthquake is a hybrid with flavors of earthy, pine, woody.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
east coast alien,East Coast Alien,,sativa,,,diesel|earthy|herbal,diesel|earthy|herbal|spicy,,thc,WA flower lots test around 15% THC on average.,,,"East Coast Alien is a sativa with flavors of diesel, earthy, herbal.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
eastern-european,Eastern-european,,indica,,,earthy|pine|woody,earthy|pine|woody,,thc,,,,"Eastern-european is an indica with flavors of earthy, pine, woody.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
easy-bud,Easy-bud,,hybrid,,,herbal|lemon|skunk,herbal|lemon|skunk|spicy,,thc,,,Female Seeds,"Easy-bud is a hybrid with flavors of herbal, lemon, skunk.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
easy-peezy,Easy-peezy,,hybrid,,,earthy|herbal|lemon,earthy|herbal|lemon|spicy,,thc,,,,"Easy-peezy is a hybrid with flavors of earthy, herbal, lemon.",The Cannabis API (Piyush-Bhor),0.65
ebola-7,Ebola-7,,hybrid,,,herbal|pine|spicy,herbal|pine|spicy|sweet,,thc,,,,"Ebola-7 is a hybrid with flavors of herbal, pine, spicy.",The Cannabis API (Piyush-Bhor),0.65
ecto-cooler,Ecto-cooler,,hybrid,,,diesel|citrus|earthy,diesel|citrus|earthy,,thc,,,Lost River Seeds,"Ecto-cooler is a hybrid with flavors of diesel, citrus, earthy.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
ed rosenthal super bud,Ed Rosenthal Super Bud,,hybrid,,,citrus|earthy|pine,citrus|earthy|pine,,thc,,,Sensi Seeds,"Ed Rosenthal Super Bud is a hybrid with flavors of citrus, earthy, pine.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor),0.65
edelweiss,Edelweiss,,indica,,,earthy|citrus|sweet,earthy|citrus|sweet,,thc,,,Flying Dutchmen Seed Company,"Edelweiss is an indica with flavors of earthy, citrus, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
el jefe,El Jefe,,hybrid,,,earthy|pine,earthy|pine,,thc,,,Rare Dankness Seeds,"El Jefe is a hybrid with flavors of earthy, pine.",Kushy cannabis-dataset,0.65
el jeffe,El Jeffe,,indica,,,earthy|pine|pungent,earthy|pine|pungent,,thc,WA flower lots test around 28% THC on average.,,,"El Jeffe is an indica with flavors of earthy, pine, pungent.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
el nino,El Nino,,hybrid,,,earthy|herbal|spicy,earthy|herbal|spicy|woody,,thc,WA flower lots test around 11% THC on average.,,Green House Seed Co.,"El Nino is a hybrid with flavors of earthy, herbal, spicy.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
el-chapo-og,El-chapo-og,,indica,,,coffee|earthy|floral,coffee|earthy|floral|pungent|sweet,,thc,,,,"El-chapo-og is an indica with flavors of coffee, earthy, floral.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
el-na,El-na,,hybrid,,,earthy|pine|pungent,earthy|pine|pungent,,thc,,,Tikun Olam,"El-na is a hybrid with flavors of earthy, pine, pungent.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
el-perro,El-perro,,hybrid,,,earthy|pine|pungent,earthy|pine|pungent,,thc,,,,"El-perro is a hybrid with flavors of earthy, pine, pungent.",The Cannabis API (Piyush-Bhor),0.65
elderberry kush,Elderberry Kush,,hybrid,,,berry|earthy|woody,berry|earthy|woody,,thc,WA flower lots test around 15% THC on average.,,Love Genetics,"Elderberry Kush is a hybrid with flavors of berry, earthy, woody.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
electric kool aid,Electric Kool Aid,,hybrid,,,berry|diesel|grape,berry|diesel|grape,,thc,,,,"Electric Kool Aid is a hybrid with flavors of berry, diesel, grape.",Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor),0.65
electric lemon g,Electric Lemon G,,sativa,,,citrus|lemon,citrus|lemon,,thc,WA flower lots test around 12% THC on average.,,T.H.Seeds,"Electric Lemon G is a sativa with flavors of citrus, lemon.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
electric-black-mamba,Electric-black-mamba,,indica,,,earthy|pine,earthy|pine,,thc,,,,"Electric-black-mamba is an indica with flavors of earthy, pine.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
electric-lemonade,Electric-lemonade,,sativa,,,berry|lemon|orange,berry|lemon|orange,,thc,,,,"Electric-lemonade is a sativa with flavors of berry, lemon, orange.",The Cannabis API (Piyush-Bhor),0.65
elmers-glue,Elmers-glue,,hybrid,,,peppery|herbal|sweet,peppery|herbal|sweet,,thc,,,,"Elmers-glue is a hybrid with flavors of peppery, herbal, sweet.",The Cannabis API (Piyush-Bhor),0.65
elphinstone,Elphinstone,,sativa,,,citrus|pine|skunk,citrus|pine|skunk|sweet|tropical,,thc,WA flower lots test around 20% THC on average.,,Bodhi Seeds,"Elphinstone is a sativa with flavors of citrus, pine, skunk.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
elvis,Elvis,,hybrid,,,earthy|floral|sweet,earthy|floral|sweet,,thc,WA flower lots test around 17% THC on average.,,Celebrity Seeds,"Elvis is a hybrid with flavors of earthy, floral, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
emerald jack,Emerald Jack,,sativa,,,citrus|earthy|grape,citrus|earthy|grape|pine,,thc,WA flower lots test around 16% THC on average.,,Emerald Triangle,"Emerald Jack is a sativa with flavors of citrus, earthy, grape.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
emerald og,Emerald Og,,indica,,,citrus|earthy|woody,citrus|earthy|woody,,thc,WA flower lots test around 18% THC on average.,,California Breeders Association,"Emerald Og is an indica with flavors of citrus, earthy, woody.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
emperor-cookie-dough,Emperor-cookie-dough,,hybrid,,,citrus|diesel|sweet,citrus|diesel|sweet,,thc,,,,"Emperor-cookie-dough is a hybrid with flavors of citrus, diesel, sweet.",The Cannabis API (Piyush-Bhor),0.65
endless sky,Endless Sky,,indica,,,berry|creamy|sweet,berry|creamy|sweet,,thc,,,Dr. Greenthumb Seeds,"Endless Sky is an indica with flavors of berry, creamy, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor),0.65
enemy of the state,Enemy Of The State,,indica,,,berry|earthy|herbal,berry|earthy|herbal|spicy|sweet,,thc,WA flower lots test around 20% THC on average.,,,"Enemy Of The State is an indica with flavors of berry, earthy, herbal.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
enigma,Enigma,,indica,,,citrus|floral|pungent,citrus|floral|pungent,,thc,WA flower lots test around 13% THC on average.,,Alpha Kronik Genes,"Enigma is an indica with flavors of citrus, floral, pungent.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
eran-almog,Eran-almog,,indica,,,citrus|earthy|sweet,citrus|earthy|sweet|woody,,thc,,,Tikun Olam,"Eran-almog is an indica with flavors of citrus, earthy, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
erez,Erez,,indica,,,berry|blueberry|floral,berry|blueberry|floral,,thc,,,Tikun Olam,"Erez is an indica with flavors of berry, blueberry, floral.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
euforia,Euforia,,hybrid,,,earthy|skunk,earthy|skunk,,thc,,,Dutch Passion Seed Company,"Euforia is a hybrid with flavors of earthy, skunk.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser),0.65
eugene-cream,Eugene-cream,,hybrid,,,creamy|earthy|sweet,creamy|earthy|sweet,,thc,,,,"Eugene-cream is a hybrid with flavors of creamy, earthy, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
euphoria,Euphoria,,sativa,,,earthy|skunk|sweet,earthy|skunk|sweet,,thc,WA flower lots test around 14% THC on average.,,Royal Queen,"Euphoria is a sativa with flavors of earthy, skunk, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
euphoria-cookies,Euphoria-cookies,,hybrid,,,citrus|sweet|tropical,citrus|sweet|tropical,,thc,,,,"Euphoria-cookies is a hybrid with flavors of citrus, sweet, tropical.",The Cannabis API (Piyush-Bhor),0.65
everlast,Everlast,,indica,,,earthy|floral|skunk,earthy|floral|skunk,,thc,,,,"Everlast is an indica with flavors of earthy, floral, skunk.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
exodus cheese,Exodus Cheese,,hybrid,,,blueberry|cheese|citrus,blueberry|cheese|citrus,,thc,WA flower lots test around 18% THC on average.,,Green House Seed Co.,"Exodus Cheese is a hybrid with flavors of blueberry, cheese, citrus.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
extreme cream,Extreme Cream,,indica,,,creamy|earthy|sweet,creamy|earthy|sweet,,thc,WA flower lots test around 24% THC on average.,,Exotic Genetix,"Extreme Cream is an indica with flavors of creamy, earthy, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
fallen-angel,Fallen-angel,,indica,,,earthy|herbal|sweet,earthy|herbal|sweet,,thc,,,The Devils Harvest,"Fallen-angel is an indica with flavors of earthy, herbal, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
false-teeth,False-teeth,,hybrid,,,diesel|earthy|grape,diesel|earthy|grape,,thc,,,,"False-teeth is a hybrid with flavors of diesel, earthy, grape.",The Cannabis API (Piyush-Bhor),0.65
fast-eddy,Fast-eddy,,hybrid,,,citrus|pungent|skunk,citrus|pungent|skunk,,thc,,,,"Fast-eddy is a hybrid with flavors of citrus, pungent, skunk.",The Cannabis API (Piyush-Bhor),0.65
fat purple,Fat Purple,,indica,,,berry|grape|sweet,berry|grape|sweet,,thc,WA flower lots test around 18% THC on average.,,Hazeman Seeds,"Fat Purple is an indica with flavors of berry, grape, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
fat-axl,Fat-axl,,hybrid,,,diesel|earthy|skunk,diesel|earthy|skunk,,thc,,,,"Fat-axl is a hybrid with flavors of diesel, earthy, skunk.",The Cannabis API (Piyush-Bhor),0.65
fat-nelson,Fat-nelson,,hybrid,,,citrus|pungent|herbal,citrus|pungent|herbal,,thc,,,,"Fat-nelson is a hybrid with flavors of citrus, pungent, herbal.",The Cannabis API (Piyush-Bhor),0.65
faygo red pop,Faygo Red Pop,,indica,,,herbal|pine|floral,herbal|pine|floral|spicy|strawberry,,thc,,,,"Faygo Red Pop is an indica with flavors of herbal, pine, floral.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor),0.65
fire alien strawberry,Fire Alien Strawberry,,hybrid,,,earthy|herbal|spicy,earthy|herbal|spicy|strawberry,,thc,,,Og Raskal,"Fire Alien Strawberry is a hybrid with flavors of earthy, herbal, spicy.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor),0.65
fire haze,Fire Haze,,sativa,,,berry|earthy|sweet,berry|earthy|sweet,,thc,,,,"Fire Haze is a sativa with flavors of berry, earthy, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor),0.65
firewalker-og,Firewalker-og,,sativa,,,citrus|earthy|pine,citrus|earthy|pine|woody,,thc,,,OMG PMO Collective,"Firewalker-og is a sativa with flavors of citrus, earthy, pine.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
flaming cookies,Flaming Cookies,,indica,,,diesel|earthy|herbal,diesel|earthy|herbal|spicy|sweet,,thc,WA flower lots test around 11% THC on average.,,CannaVenture,"Flaming Cookies is an indica with flavors of diesel, earthy, herbal.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
flo,Flo,,hybrid,,,earthy|floral|sweet,earthy|floral|sweet,,thc,WA flower lots test around 17% THC on average.,,DJ Short,"Flo is a hybrid with flavors of earthy, floral, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
flo og,Flo Og,,indica,,,berry|earthy|floral,berry|earthy|floral|pungent|sweet,,thc,WA flower lots test around 20% THC on average.,,Rare Dankness Seeds,"Flo Og is an indica with flavors of berry, earthy, floral.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
flo-limone,Flo-limone,,sativa,,,lemon|sweet|tropical,lemon|sweet|tropical,,thc,,,,"Flo-limone is a sativa with flavors of lemon, sweet, tropical.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
flo-walker,Flo-walker,,hybrid,,,citrus|earthy|lemon,citrus|earthy|lemon,,thc,,,,"Flo-walker is a hybrid with flavors of citrus, earthy, lemon.",The Cannabis API (Piyush-Bhor),0.65
flowerbomb kush,Flowerbomb Kush,,indica,,,citrus|earthy|sweet,citrus|earthy|sweet,,thc,WA flower lots test around 15% THC on average.,,Strain Hunters Seed Bank,"Flowerbomb Kush is an indica with flavors of citrus, earthy, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
flowers-for-algernon,Flowers-for-algernon,,hybrid,,,citrus|diesel|mint,citrus|diesel|mint,,thc,,,,"Flowers-for-algernon is a hybrid with flavors of citrus, diesel, mint.",The Cannabis API (Piyush-Bhor),0.65
fn-louzer,Fn-louzer,,indica,,,diesel|earthy|pungent,diesel|earthy|pungent,,thc,,,,"Fn-louzer is an indica with flavors of diesel, earthy, pungent.",The Cannabis API (Piyush-Bhor),0.65
fortune cookies,Fortune Cookies,,hybrid,,,earthy|honey|sweet,earthy|honey|sweet,,thc,WA flower lots test around 20% THC on average.,,,"Fortune Cookies is a hybrid with flavors of earthy, honey, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
forum cookies,Forum Cookies,,hybrid,,caryophyllene,peppery|spicy|woody|hoppy,,caryophyllene|humulene,thc,,,,Forum Cookies is a hybrid with Caryophyllene-forward terpene profile.,Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser),0.65
four-cups,Four-cups,,hybrid,,,diesel|earthy|herbal,diesel|earthy|herbal|spicy,,thc,,,,"Four-cups is a hybrid with flavors of diesel, earthy, herbal.",The Cannabis API (Piyush-Bhor),0.65
four-star-general,Four-star-general,,hybrid,,,diesel|earthy|floral,diesel|earthy|floral,,thc,,,,"Four-star-general is a hybrid with flavors of diesel, earthy, floral.",The Cannabis API (Piyush-Bhor),0.65
four-way,Four-way,,indica,,,honey|peppery|sweet,honey|peppery|sweet,,thc,,,Exotic Seed Co.,"Four-way is an indica with flavors of honey, peppery, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
frank,Frank,,hybrid,,pinene,pine|fresh,,pinene,thc,,,,Frank is a hybrid with Pinene-forward terpene profile.,Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser),0.65
franks gift,Franks Gift,,hybrid,,,skunk|earthy|woody,skunk|earthy|woody,,thc,WA flower lots test around 11% THC on average.,,,"Franks Gift is a hybrid with flavors of skunk, earthy, woody.",The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
fred-flipn-stoned,Fred-flipn-stoned,,indica,,,herbal|spicy,herbal|spicy,,thc,,,,"Fred-flipn-stoned is an indica with flavors of herbal, spicy.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
freezeland,Freezeland,,indica,,,earthy|pine|woody,earthy|pine|woody,,thc,WA flower lots test around 14% THC on average.,,,"Freezeland is an indica with flavors of earthy, pine, woody.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
frida,Frida,,indica,,,earthy|lemon|pine,earthy|lemon|pine,,thc,WA flower lots test around 7% THC on average.,,,"Frida is an indica with flavors of earthy, lemon, pine.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
frisian dew,Frisian Dew,,hybrid,,,citrus|pungent|sweet,citrus|pungent|sweet,,thc,WA flower lots test around 17% THC on average.,,Dutch Passion Seed Company,"Frisian Dew is a hybrid with flavors of citrus, pungent, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
